score,artista,titulo,ano,problemas,palavras_descricao,n_referencias,n_referencias_com_versiculo
6,Gustave Doré,Paulo é liberto da prisão,1866,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",8,1,0
6,Gustave Doré,Pedro e João curam o paralítico na entrada do templo,1866,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",13,1,0
6,Gustave Doré,Pedro escapando da prisão,1866,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",7,1,0
6,Gustave Doré,Pedro nega ser discípulo de Cristo,1866,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",9,1,0
6,Gustave Doré,Sansão mata um leão,1866,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",7,1,0
6,Gustave Doré,Um anjo aparece a Balaão,1866,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",8,1,0
6,Aert de Gelder,O sonho de Jacó,1715,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",8,1,0
6,Autor Desconhecido,Judas recebendo 30 moedas de prata,1500,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",9,1,0
6,Autor Desconhecido,Transfiguração de Cristo,1100,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",6,1,0
6,Balthasar van Cortbemde,O bom samaritano,1647,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",7,1,0
6,Bartholomeus Breenbergh,Moisés e Arão transformando os rios do Egito em sangue,1631,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",13,1,0
6,Bartholomeus Breenbergh,O apedrejamento de Estevão,1632,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",7,1,0
6,Bartholomeus Breenbergh,Paisagem com Balaão e o jumento,1634,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",9,1,0
6,Bartolomé Esteban Murillo,O milagre dos pães e peixes,1682,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",10,1,0
6,Briton Riviere,Daniel na cova dos leões,1872,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",8,1,0
